
Resultados nacionales
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de enseñanza
Unidades: Número de estudiantes

	Total									Ciencias Sociales y Jurídicas									Ingeniería y Arquitectura									Artes y Humanidades									Ciencias de la Salud									Ciencias									
	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	2023-2024	2022-2023	2021-2022	2020-2021	2019-2020	2018-2019	2017-2018	2016-2017	2015-2016	
Total	
    Total	
        Ambos sexos	
            Total	363494.0	360028.0	345108.0	359111.0	341995.0	337055.0	337105.0	340988.0	345835.0	166498.0	168993.0	159987.0	169033.0	160219.0	157764.0	162676.0	162124.0	164376.0	67436.0	63317.0	60456.0	59239.0	58508.0	58150.0	56874.0	58135.0	60300.0	35778.0	35875.0	37272.0	41445.0	39613.0	37992.0	36662.0	38192.0	37493.0	72045.0	70049.0	65793.0	66775.0	61743.0	61395.0	59528.0	60568.0	61461.0	21737.0	21794.0	21600.0	22619.0	21912.0	21754.0	21365.0	21969.0	22205.0	
            España	332594.0	331407.0	318622.0	334055.0	317414.0	314595.0	316101.0	321491.0	327316.0	152554.0	156113.0	148011.0	157806.0	148875.0	147654.0	153156.0	153527.0	156111.0	61354.0	57915.0	55673.0	54760.0	54253.0	54381.0	53391.0	54993.0	57398.0	32932.0	33210.0	34680.0	38789.0	37132.0	35661.0	34438.0	36027.0	35415.0	65074.0	63348.0	59548.0	60932.0	56062.0	55945.0	54487.0	55646.0	56862.0	20680.0	20821.0	20710.0	21768.0	21092.0	20954.0	20629.0	21298.0	21530.0	
            Unión Europea	10748.0	10155.0	9775.0	9575.0	9547.0	9242.0	8783.0	8527.0	7810.0	4398.0	3885.0	3776.0	3701.0	3743.0	3519.0	3421.0	3151.0	2870.0	1280.0	1255.0	1021.0	1033.0	1104.0	985.0	938.0	903.0	814.0	875.0	859.0	888.0	985.0	988.0	937.0	884.0	888.0	835.0	3855.0	3831.0	3793.0	3521.0	3421.0	3498.0	3267.0	3317.0	3009.0	340.0	325.0	297.0	335.0	291.0	303.0	273.0	268.0	282.0	
            Resto de Europa	2415.0	2252.0	2069.0	1719.0	1674.0	1622.0	1707.0	1628.0	1568.0	1202.0	1119.0	968.0	875.0	835.0	802.0	860.0	811.0	798.0	405.0	375.0	362.0	286.0	302.0	296.0	306.0	274.0	226.0	256.0	270.0	263.0	200.0	175.0	190.0	212.0	226.0	226.0	465.0	412.0	395.0	298.0	293.0	254.0	262.0	253.0	250.0	87.0	76.0	81.0	60.0	69.0	80.0	67.0	64.0	68.0	
            EEUU y Canadá	534.0	458.0	378.0	332.0	330.0	311.0	269.0	181.0	193.0	322.0	292.0	215.0	189.0	202.0	175.0	120.0	89.0	94.0	65.0	48.0	44.0	25.0	23.0	26.0	12.0	8.0	17.0	46.0	52.0	46.0	47.0	32.0	48.0	74.0	44.0	46.0	88.0	57.0	61.0	64.0	61.0	58.0	54.0	32.0	26.0	13.0	9.0	12.0	7.0	12.0	4.0	9.0	8.0	10.0	
            América Latina y Caribe	10125.0	9370.0	8108.0	6943.0	7183.0	6324.0	5686.0	4943.0	4959.0	5055.0	4846.0	4322.0	3637.0	3814.0	3287.0	2887.0	2515.0	2546.0	1956.0	1736.0	1381.0	1237.0	1361.0	1225.0	1149.0	942.0	903.0	1101.0	994.0	868.0	757.0	718.0	636.0	564.0	511.0	523.0	1639.0	1466.0	1244.0	1072.0	1054.0	939.0	866.0	784.0	794.0	374.0	328.0	293.0	240.0	236.0	237.0	220.0	191.0	193.0	
