Sexo;Comunidad autónoma y provincia de residencia;País de nacionalidad;Unidades de medida;Total
Ambos sexos;Total Nacional;Total;Edad media;43,79
Ambos sexos;Total Nacional;Albania;Edad media;32,48
Ambos sexos;Total Nacional;Austria;Edad media;46,55
Ambos sexos;Total Nacional;Bélgica;Edad media;51,85
Ambos sexos;Total Nacional;Bulgaria;Edad media;38,94
Ambos sexos;Total Nacional;Dinamarca;Edad media;50,79
Ambos sexos;Total Nacional;España;Edad media;44,7
Ambos sexos;Total Nacional;Finlandia;Edad media;51,76
Ambos sexos;Total Nacional;Francia;Edad media;43,34
Ambos sexos;Total Nacional;Grecia;Edad media;37,82
Ambos sexos;Total Nacional;Hungría;Edad media;36,23
Ambos sexos;Total Nacional;Irlanda;Edad media;46,66
Ambos sexos;Total Nacional;Italia;Edad media;39,09
Ambos sexos;Total Nacional;Noruega;Edad media;52,45
Ambos sexos;Total Nacional;Países Bajos;Edad media;49,75
Ambos sexos;Total Nacional;Polonia;Edad media;37,59
Ambos sexos;Total Nacional;Portugal;Edad media;40,89
Ambos sexos;Total Nacional;Andorra;Edad media;34,61
Ambos sexos;Total Nacional;Reino Unido;Edad media;54,21
Ambos sexos;Total Nacional;Alemania;Edad media;49,91
Ambos sexos;Total Nacional;Rumanía;Edad media;34,74
Ambos sexos;Total Nacional;Suecia;Edad media;48,5
Ambos sexos;Total Nacional;Suiza;Edad media;54,27
Ambos sexos;Total Nacional;Ucrania;Edad media;38,39
Ambos sexos;Total Nacional;Letonia;Edad media;35,04
Ambos sexos;Total Nacional;Moldavia;Edad media;34,92
Ambos sexos;Total Nacional;Belarús;Edad media;37,07
Ambos sexos;Total Nacional;Georgia;Edad media;34,89
Ambos sexos;Total Nacional;Estonia;Edad media;34,37
Ambos sexos;Total Nacional;Lituania;Edad media;36,28
Ambos sexos;Total Nacional;República Checa;Edad media;37,15
Ambos sexos;Total Nacional;República Eslovaca;Edad media;36,45
Ambos sexos;Total Nacional;Croacia;Edad media;36,61
Ambos sexos;Total Nacional;Armenia;Edad media;36,93
Ambos sexos;Total Nacional;Rusia;Edad media;37,85
Ambos sexos;Total Nacional;Serbia;Edad media;36,97
Ambos sexos;Total Nacional;Otros países de Europa;Edad media;38,73
Ambos sexos;Total Nacional;Angola;Edad media;37,73
Ambos sexos;Total Nacional;Argelia;Edad media;33,88
Ambos sexos;Total Nacional;Cabo Verde;Edad media;38,29
Ambos sexos;Total Nacional;Camerún;Edad media;32,7
Ambos sexos;Total Nacional;Costa de Marfil;Edad media;29,82
Ambos sexos;Total Nacional;Egipto;Edad media;33,86
Ambos sexos;Total Nacional;Etiopía;Edad media;34,09
Ambos sexos;Total Nacional;Gambia;Edad media;31,04
Ambos sexos;Total Nacional;Ghana;Edad media;33,12
Ambos sexos;Total Nacional;Guinea;Edad media;30,68
Ambos sexos;Total Nacional;Guinea-Bissau;Edad media;36,61
Ambos sexos;Total Nacional;Guinea Ecuatorial;Edad media;30,39
Ambos sexos;Total Nacional;Mali;Edad media;32,46
Ambos sexos;Total Nacional;Marruecos;Edad media;31,64
Ambos sexos;Total Nacional;Mauritania;Edad media;37,24
Ambos sexos;Total Nacional;Nigeria;Edad media;32,32
Ambos sexos;Total Nacional;Sudáfrica;Edad media;39
Ambos sexos;Total Nacional;Senegal;Edad media;34,52
Ambos sexos;Total Nacional;Túnez;Edad media;34,15
Ambos sexos;Total Nacional;Otros países de África;Edad media;34,12
Ambos sexos;Total Nacional;Canadá;Edad media;41,07
Ambos sexos;Total Nacional;Estados Unidos de América;Edad media;40,05
Ambos sexos;Total Nacional;México;Edad media;35,79
Ambos sexos;Total Nacional;Costa Rica;Edad media;33,32
Ambos sexos;Total Nacional;Cuba;Edad media;40,01
Ambos sexos;Total Nacional;El Salvador;Edad media;29,94
Ambos sexos;Total Nacional;Guatemala;Edad media;30,41
Ambos sexos;Total Nacional;Honduras;Edad media;30,27
Ambos sexos;Total Nacional;Nicaragua;Edad media;31,7
Ambos sexos;Total Nacional;Panamá;Edad media;31,26
Ambos sexos;Total Nacional;República Dominicana;Edad media;33,23
Ambos sexos;Total Nacional;Argentina;Edad media;38,62
Ambos sexos;Total Nacional;Bolivia;Edad media;35,09
Ambos sexos;Total Nacional;Brasil;Edad media;35,16
Ambos sexos;Total Nacional;Colombia;Edad media;35
Ambos sexos;Total Nacional;Chile;Edad media;38,01
Ambos sexos;Total Nacional;Ecuador;Edad media;36,53
Ambos sexos;Total Nacional;Paraguay;Edad media;34,42
Ambos sexos;Total Nacional;Perú;Edad media;36,88
Ambos sexos;Total Nacional;Uruguay;Edad media;40,48
Ambos sexos;Total Nacional;Venezuela;Edad media;35,69
Ambos sexos;Total Nacional;Otros países de América;Edad media;35,28
Ambos sexos;Total Nacional;Bangladesh;Edad media;29,21
Ambos sexos;Total Nacional;China;Edad media;32,63
Ambos sexos;Total Nacional;Filipinas;Edad media;37,93
Ambos sexos;Total Nacional;India;Edad media;32
Ambos sexos;Total Nacional;Indonesia;Edad media;36,84
Ambos sexos;Total Nacional;Iraq;Edad media;35,18
Ambos sexos;Total Nacional;Irán;Edad media;37,8
Ambos sexos;Total Nacional;Israel;Edad media;35,12
Ambos sexos;Total Nacional;Japón;Edad media;42,75
Ambos sexos;Total Nacional;Jordania;Edad media;34,94
Ambos sexos;Total Nacional;Líbano;Edad media;34,91
Ambos sexos;Total Nacional;Nepal;Edad media;30,41
Ambos sexos;Total Nacional;Pakistán;Edad media;31,04
Ambos sexos;Total Nacional;Corea;Edad media;36,43
Ambos sexos;Total Nacional;Siria;Edad media;29,74
Ambos sexos;Total Nacional;Tailandia;Edad media;40,53
